"ID","Mean Bias","Max Error","MAE","RMSE","r_pear","r_spear","nse","name"
"08CD001",-7.48,-44.93,7.48,13.65,0.94,0.99,0.79,"TUYA RIVER NEAR TELEGRAPH CREEK"
"08DA005",-25.59,-212.58,46.52,76.27,0.93,0.97,0.84,"SURPRISE CREEK NEAR THE MOUTH"
"08EB004",-16.67,-68.47,16.7,24.73,0.96,0.94,0.75,"KISPIOX RIVER NEAR HAZELTON"
"08EC013",-2.13,32.77,12.83,15.95,0.63,0.79,-0.55,"BABINE RIVER AT OUTLET OF NILKITKWA LAKE"
"08ED001",0.8,-75.23,28.93,36.61,0.91,0.98,0.82,"NANIKA RIVER AT OUTLET OF KIDPRICE LAKE"
"08ED002",2.77,51.34,31.66,34.25,0.92,0.94,0.8,"MORICE RIVER NEAR HOUSTON"
"08EE008",3.07,16.32,5.73,7.69,0.98,0.97,0.96,"GOATHORN CREEK NEAR TELKWA"
"08EE012",-0.37,-43.17,13.1,18.33,0.96,0.96,0.9,"SIMPSON CREEK AT THE MOUTH"
"08EE020",-22.48,-90.87,27.24,36.48,0.96,0.98,0.84,"TELKWA RIVER BELOW TSAI CREEK"
"08EF005",-21.07,-74.77,23.43,29.69,0.97,0.99,0.83,"ZYMOETZ RIVER ABOVE O.K. CREEK"
"08EG012",6.43,86.04,34.27,43.1,0.98,0.94,0.94,"EXCHAMSIKS RIVER NEAR TERRACE"
"08FA002",67,134,67,76.67,0.95,0.94,0.45,"WANNOCK RIVER AT OUTLET OF OWIKENO LAKE"
"08FB004",-42.55,-73.26,43.49,48.2,0.93,0.94,0.41,"SALLOOMT RIVER NEAR HAGENSBORG"
"08FB006",37.86,99.32,39.72,52.01,0.95,0.91,-3.87,"ATNARKO RIVER NEAR THE MOUTH"
"08FB007",25.78,68.88,29.45,37.39,0.97,0.98,0.41,"BELLA COOLA RIVER ABOVE BURNT BRIDGE CREEK"
"08FC003",11.52,48.92,12.45,18.34,0.97,0.97,-1.69,"DEAN RIVER BELOW TANSWANKET CREEK"
"08FE003",16.89,194.81,53.18,82.1,0.89,0.92,0.7,"KEMANO RIVER ABOVE POWERHOUSE TAILRACE"
"08FF001",-13.21,-64.92,23.33,29.69,0.95,0.91,0.82,"KITIMAT RIVER BELOW HIRSCH CREEK"
"08GA061",-24.79,-117.37,28.5,44.84,0.95,0.94,0.82,"MACKAY CREEK AT MONTROYAL BOULEVARD"
"08GA075",-1.63,-63.82,26.99,32.02,0.9,0.89,0.8,"MAMQUAM RIVER ABOVE RING CREEK"
"08GD004",13.89,77.69,22.25,31.53,0.97,0.97,0.91,"HOMATHKO RIVER AT THE MOUTH"
"08GE002",26.57,84.19,30.73,41.68,0.97,0.97,0.86,"KLINAKLINI RIVER EAST CHANNEL (MAIN) NEAR THE MOUTH"
"08HA001",-5.12,-92.14,32.26,40.14,0.92,0.9,0.85,"CHEMAINUS RIVER NEAR WESTHOLME"
"08HA003",5.99,-58.6,27.89,32.41,0.96,0.97,0.91,"KOKSILAH RIVER AT COWICHAN STATION"
"08HA010",-17.69,-127.77,35.83,50.78,0.96,0.97,0.9,"SAN JUAN RIVER NEAR PORT RENFREW"
"08HA016",-2.65,-61.23,20.65,27.42,0.95,0.97,0.89,"BINGS CREEK NEAR THE MOUTH"
"08HB002",-2.01,-45.63,15.56,22.16,0.96,0.98,0.93,"ENGLISHMAN RIVER NEAR PARKSVILLE"
"08HB014",-81.17,-306.23,92.18,133.55,0.95,0.94,0.67,"SARITA RIVER NEAR BAMFIELD"
"08HB024",-16.11,-85.56,34.04,44.15,0.89,0.8,0.77,"TSABLE RIVER NEAR FANNY BAY"
"08HB032",1.65,-38.33,16.85,19.69,0.97,0.98,0.93,"MILLSTONE RIVER AT NANAIMO"
"08HB048",-2.21,-127.54,45.05,54.93,0.94,0.96,0.87,"CARNATION CREEK AT THE MOUTH"
"08HD011",33.08,74.39,33.95,39.6,0.92,0.88,0.45,"OYSTER RIVER BELOW WOODHUS CREEK"
"08HE006",-39.08,-151.08,66.62,76.73,0.91,0.95,0.76,"ZEBALLOS RIVER NEAR ZEBALLOS"
"08HF004",1.23,80.35,39.7,45.4,0.88,0.83,0.66,"TSITIKA RIVER BELOW CATHERINE CREEK"
"08HF005",-15.96,76.73,40.33,45.99,0.91,0.9,0.8,"NIMPKISH RIVER ABOVE WOSS RIVER"
"08HF006",-49.62,-197.29,74.61,97.73,0.92,0.9,0.7,"SAN JOSEF RIVER BELOW SHARP CREEK"
"08OA002",-25.31,-102.49,33.44,46.69,0.92,0.94,0.78,"YAKOUN RIVER NEAR PORT CLEMENTS"
"08OB002",-34.73,-147.29,55.26,70.83,0.91,0.89,0.78,"PALLANT CREEK NEAR QUEEN CHARLOTTE"
